Lundi         , Ltnain
C’est de ma faute,Lfalta diali
Tu as raison,A3ndek lhak
Je n’ai rien à dire,Ma3ndi mangoul
Ne vous en faites pas,Ma3lekch / la alek
Ce n’est rien,Dnia hania
Où se trouve le  centre ville monsieur ?,Fin ja akhai loust lmdina
Montrez moi s’il vous plait la route qui mène à la gare,Ourini a3fak trek dial la gare
Allez tout doit puis tournez à gauche,Sir nichen ou door a chmel
"Vous vous ètes perdu, retournez sur vos pas et demandez àl’epicier","Araktalef, arja oua soul mlhanout"
La droite,Limen
La gauche,Chmel
Tout droit,Nichen
Devant,Godem
Derriere,Loor  / moor
Le coté,Ljiha
Le sud,Ljanoub
Le nord,Lchamal
L’est,Lchark
L’ouest,Lgharb
La,Tema
Ici,Hna
Taxi,Taxi/ taxiat
Chauffeur,Chifour/chifourat
Place,Blaça/blais
Station,Stationn/lmahata
Le port,Lmerça
L’aeroport,Maatar
Combien ça coute pour aller à l’aeroport ?,Chall tddini lmaatar
Y a-t-il un taxi pour fes monsieur ?,Ouech kein chi taxi lfes chriff ?
"Je suis pressé, pouriez vous rouler un peu plus vite ?",Ana ranimzroub 3afak zrib chwia.
Peut être que je suis en retard,Imken mcha hlia l7al
 J’ai beaucoup de retard et aucun taxi  n’arrive, Taatalt bezaf o hata taxi maben
Les bagages,Lbagag
La valise,Lbaliza
Le sac,Lsak
Le prix,Ltaman
Le numero,Lnimra
Les voyages,Safr
L’arrivée,Nouosl
Déscendre,Nzil
Monter,Tla
S’arreter,W9af/7bis
Réserver,7azj
Démarrer,Intala9a
Est-ce que ce car part pour agadir?,Ouech 7ad lcar radi lagadir?
Combien de temps reste-t-il pour arriver ?,Chal dial louakt ba9i nouoslo
Quand le car va-t-il démarrer ?, Fo9ach kaykal3a lcar?
Où se trouve le guichet s’il vous plait ?,Fin lguichet lah yarhamil walidin?
Pourriez vous surveiller cette valise jusqu'à ce que je revienne svp ?,Hadi smak 7ad lbalisa 7ta ana rja 3afak
Le train,L lren
La garre,Lmahata
La voie ferrée,Sikka
La place,Lblaça
Le billet,Lwarka/lbilleet
Le wagon,L fago
le controleur,Lcontrolour
Acheter son billet,Katta lwarka
"Cette place, est elle occupée ou libre madame?",7ad lblaça ouech 3amra wla khaouia alalla ?
"Le train n’arrive pas, il a peut etre du retard",Lmachina maouoslach wakila  3anda lretard
Pourais-je fumer une cigarette svp?,Smahli mkemmi wahed lgarro?
L’huile,L zit
La vitesse,Lsoraa
L’essence,L’essans
Le gaz oil,L mazot
"L’automobile, les automobiles",Ltonobil/ltonobilat
La station service,Lbomba
Le cofre,Lcofr
Litre,Litro
Bidon,Bido
Photo,Soirat
Cette route mène-t-elle à fes?,"Ouich 7ad trek, tddi lfes ?"
Y a-t-il un mécanicien ici,Kein chi mecanicien hnaya?
Je voudrais que  quelqu’un me répare ma voiture,Brit chi wahed le saib lia ltonobil
Y a t il encore une station sur la route?,Ouech mazal chi station 9oddem ?
Je n’ai plus de roue de secour,Ma3ndich roeda dsecour
Ma roue est crevée,Crevat lroeda
Je suis tombée en panne,Tahat en panne
Où est l’hotel ?,Fin l’hotel ?
"Excusez moi, y a-t-il un hotel ici ?",Smahlia lalla fin kein chi hotel hnaya ?
"Bonsoir, il vous reste une chambre disponible ?","Msalkhir, ba9i 3andek chi bit khaoui?"
"Non, tout est plein tout est complet, alez voir cet hotel là bas.","La coulchi 3amar, coulchi complet, chof 7adak hotel hya."
Existe-t-il un camping dans cette ville ?,Ouech kein chi camping f7ad lmdina a sidi ?
Combien coute une chambre,Ch7al t7aseb lbit
100 DH par nuit,Myat drham lila
Y a-t-il une douche ?,Fia douche o la la
Avec douche c’est 5 dh par nuit,Bdouch khassek nzid 5dh lila
Le lit,L Frach
L’orreiller,Lnizar
La couverture,Lbtania
Reserver,Arben
La lumiere,L do
L’eau chaude,Lma skhon
La nuit,Lil
L’eau froide,Lma berd
Na9i,Proper
Le petit déjeuner,L ftor
Sale,"Mouiskh, mouiskha"
Le dejeuner,Lrda
Le diner,L3acha
Le pain,L kkobs
Le lait,L 7alib
Le café,Lka7oa
La patisserie,lHaloua
Le thé,Latai
Le beurre,lZoubda
Le cocolat,Lchoklat
La confiture,Lconfitir
Le miel,Ala3asal
Le jus de fruit,L’3asir
La viande hachée,Lkefta
Le roti,Mlmhamar
Les brochettes,Lktban
Le mechoui,Lmechoui
Le mechoui,Lham
Le riz,Aroz
Les olives,Lzitoun
Les légumes,Lkhodra
Le poulet,Lgeg
Les tomates,Maticha
Le poisson,Lhout
Les pommes de terres,Lbatata
Les abats,Lfdaouch
Les carrotes,Lkhaizo
Les oignons,Lbasla
Les pigeons,Lhmam
La laitue,Lkhas
Les navets,Aleft
Les courgettes,Lgr3a
Le thé noir,Atai kehal
Lalcohol,Lchrab
Le thé vert,Atai khedar
La bierre,Lbirra
La menthe,N3an3a
L’abscinte,Lchiba
La verveine,Louisa
Le jus de pomme,L’3asir d tfa7
Le jus d’orange,L '3asir dlimone
Les fruits,Lfawakia
Le raisin,L’3anib
Les abricots,Lmachmach
Les melons,Lbetikh
Les pasteques,Ldelah
Les grenades,aRman
Les figues,Lkarmous
Les peches,Lkhokh
Les oranges,Limoun
Où est l’hotel ?,Fin l’hotel ?
je,Ana 
tu,Ntina
il,Hia
elle,Hoa
nous,7na
vous,Ntouma
ils / elles,Houma
le mien,Dialna
le tien,Diallek
le sien,Diallo
la sienne,Dialla
le notre,Dialhna
le votre,Dialkoum
le leurs,Dialloum
soudain / brusquement,3alarafla
vacances / congés,3otla
connaître,3ref
donner,3ti
donne moi,Ara
timide,7chm
poser,7et
apprendre,7fad
Yeux,Aain
Viens,Agi
Jours,Aiem
Pourquoi,Alach
Pourquoi tu me regardes ?,Alach ketchoufia
Pour moi et pour toi,Alina w alek
Dieu,Allah
Je suis fatigué,Ana aien
J’ai faim,Ana fia jou3
J’ai sommeil,Ana fia nass
Je suis là bas,Ana tema
Dès que j’en aurais l occasion,Aoul manalka chi forsa
Enfants,Aouled
Donne-moi,Atainy
Vendre,Ba3
Père,Baba
Fout moi la paix,Badmni
C’est tout,Baraka
Mes condoléances,Baraka frasek
Moins cher,Barata / rkhiss
Porte,Beb
Œufs,Beid / beidas
Ça va ?,Bekher
Au contraire,Bel3aks
Au contraire,Bel3ax
Par contre,Belhak
Hier,Bera7
Pour,Besh
Près de,bhall
Mer / plage,Bhar
Beaucoup,Bizef
Avaler,Blaa
Laisse tomber,Blesh
Ampoule,Bola
Pilier,boudra
Vouloir,Brite
Félicitations,Bsaha
Au revoir,Bslama
Pomme de terre,btata
Poivre,Bzar
Malgré,Bzaz
Force,Caoua
Fort,Caouiy/s7i7
Yali,Celui qui
Pates/spaghettis,Ch3aria
Allumer,Cha3al
Cheveux,chaar
Témoin,Chahada
Soleil,chams
Explication,Char7
Qu’est ce que tu veux,chbghiti
C’est puissant / c’est top,Chdid
Jeune,cheb
Vieux,chebeni
Voleur,chefer
Arbre,Chjra
Qui ?,chkoun
Bougies,Chmea
Gauche,chmell
Quoi,Chno
Expliquer,Chra7
Acheter,chri
Pluie,Chtah
Toutes les chambres,Coulbit
Tout,Coulchi
Tout va bien,Coulchi mzian
Chaise,Coursi
Faible,Daîf
Maison,dar
Te frapper,Darbek
Dent,Dars
Apprendre,Derasa
Farine,Dgig
Elastique,Djipada
Entrez,Dkholl
Gentil,Drifa/drif
Après midi,Eshiya
alors que,F3ot
Content,Farhan
Souris,Farr
Virgule,Fassila
Curieux,Fdoli
Reflechir,Fekkar
Je suis enrhumé,Fia rouah
Bonne idée,Fikra mzyana
Où va tu,Fin machi
Où en êtes-vous,Fiou wsalto
Tortue,Fkroun
Argent,Flous 
Quand ?,Fo9ash
Ouvrir,Ftah
Petit déjeuner,Ftar
Pourcent,Fulmia
Assis,Geles
Cher,Ghali
Bizarre,Ghariba/fechkel
Assis !  assoyez-vous !,Gless/gelsso
Dire,goll
Angle aigu,Hadda
Métal / fer,Hadid
Comme ça,Haka
Escargot,Halazoun
Gateaux,Haloua
Gateaux,Haloua
Dieu merci,Hamdoulilah
Epicerie,Hannout
Moi aussi,Hata ana
Toi aussi,Hata nta
Parler,Hdar
Poissons,Heudt
Lait,Hlib
Ane,Hmar
Cochon,Houllouf
Brûler,Hra9
Toi de même,Htanta/htanti
Punir,i3a9ab
Balayer,Ichtaba/miknasa
Donc,Idan
si dieu le veut,Inchallah / ikonkher
Crier,Irouat
Mosquée,Jama3
Sert pierre,Jffaf
Il y en a,Kaena
Angle droit,Kaima
Moins 5 minutes,Kal Ksam
Moins 10 minutes,Kal Ksmaenina
Stress,Kalak
moins 20 minutes,Kaltseuleut
Ensemble,Kamlin  bikoum
Je cherche,Kan9aleb
Je fais,kandir
Eglise,Kanisa
J’ai peur,Kankhaf
Chat,Kata / mcha
J’aime ça,Kay3jebni
Drôle,Kayde7ek
Avant,Kbel
Grand,Kbir
Mentir,Kdeb
Chien,Kelb
Je t’aime,Ken brick 
essayer,Kenhaoul
Je te felicite,Kenhenek
Habiter,Kenskoun
Train,Ketar
Sage femme / j’accepte,Khabla
Travail,Khadma / a3mal
Grain de beauté,Khala
Il n’y a rien,Khaoui
Bois,Khcheb
Tante,Khelti
levure,Khemira
Nez,Khnafar
Prendre,Khod
Emmène-moi,Khodni
Prend,Khoud
Sortez Sortir,Khourij
Merde,Khra
Comment ça va ?,Kifah halek
Pareils,Kifkif – fhalhfal
Dis lui,Kollo
J’ai failli…,Konts
Manger,Koul
Etudier,Kra
Approcher,Krreb
Ecrire,Kteb
Plus que toi,Ktsarmniknta
Non,La 
Lentille,Laadiz
L’année prochaine,Laamji
Que dieu te donne la santé,Lahteksaha
Que Dieu me garde,Lahyaoun
Chambre (s),Lbit /lbiout
Citron,Lemon
Orange,Letchi / mandarine
Univers,Lfalak
Haut,Lfokh
En haut,Lfokh
Viande,Lham
Mouton,Lhaouli
Droite,Limen
Aujourd’hui,Liouma
Domestiques,Lkhaddama
L’eau,Lma
Table,Lmida
Le milieu,Louast
Haricots,Loubia
Foret,Lraba
Bas,Lte7t
Avec toi,Maak
Entre…. Et …,Mabin
Félicitation,Mabrouk
Ça ne va pas ?,Machi mzyan ?
Pas bien,Machimzian
Occupé,machroul
Qui ne passe pas,Madouzchi
Carafe,Makreg
Je ne sais pas,Manaraf
Bienvenu,Marhaban
Tomates,Mataicha
Par exemple,Matalan
Pas encore,Mazal
Aller,Mcha
Enchanté,Mcharfin
Je vais par la,Mchi mn hna
Chaton,Mchicha
On y va !,Mchina
Je ne comprends pas,Mefemtchi
Mort,Metset / mouts
Chat,Micha
Sauf que,min ghir
D’ où vient …,Minjat ?
Malade,Miriend
Marteau,Mittrak
Abimé / gâté,Mkhasr
Sel,Mlah
Lunettes,Mnaddar
Apres,Mnbaad
Parapluie,Mndall
Surpris,Mofajaa
Angle obtus,Moferija
Obeissant,Mote3ain
Problème,Mouchkila
Voyager,Mssafer
Futur,Mstakbal
Stupide,Mtarnan
Belle,Mziouna
Poser,N7at
Diminuer,N9ess
Discuter (prix),Na9chou
Je fais ce que je veux,Nahmal le bridze
Nous faisons,Nahmlou
Au secours,Najda
Ouvrir,Nhel
Exactement / alors,Nichen / yahadek
Plus ou moin,Nisbian
On part ?,Nmjiou
Note,No9ta
J ai oublié,nsit
et alors?,o cheno fiha?
D’accord,Oakha
Temps,Ouakt
Oreilles / écouter,Ouednin/Smah
Ministre,Ouizir
Fils,Ould
Fils de pute,Ould kahba
Demain,Radda
Repos,Raha
Ferme les yeux,Ramadainick
Riche,rani
Absence,Rieb
Mince,Rkik
Gros,Rlid
Boite de tomate,rOrraf dmataicha
En forme,S7i7
C’est bon / c’est fini,Safi
Mon ami,Sahbi
Mon amie,Sahbti
Difficile,Saieb
Jeûner,Saiem
Carafe,Sakhan
Question,Saksi
La paix soit avec toi,Salam alekoum
Année,Sana
L’année prochaine,Sanakadima
Fenêtre,Sargim
Pantalon,Saroual
Lion,Sbaa
bonjour,Sbaalkher
Matin,sbah
Mois,Schor
Vite,Serbie
Combien,Shall
Quel age as-tu,Shall faamrek
Qu’est ce que tu veux,Shnau briti
Quoi de neuf ?,Shnau kain
Comment t’appelles-tu,Shnau smitik/ ishmouk
Comment ça s’appelle ?,Shnau smitou
Qu’est ce que ça veut dire,Shnau zama
Fermer,Shoudt
Voir,Shouf
Un peu,Shouia
Merci ,Shoukran
Attraper,Shouper
Nager,Sibaha
Voile,Sibnia / hijab
Jeter,Sieb
Industrie,Sina3a
Pantalon,Siroual
Va te faire foutre,Sirtkaoued
Il fait chaud,Skhana
Chaud,Skhön
Taisez vous,Sktou
Pardon,Smahalia
Entendre,Smati
Sucre,Soukar
Sucre,Soukar
Questionner,Souwol
Petit,Srir
En bas,Ta7t
plus ou moin,Ta9riban
Table,Tabila
Casquette,Tarbouch
Médecin,Tbib
Fumer,Tboak
Balayer,Tchatbi
Sandales,Tchingla
Eteindre,Tfah
Se moquer,Tfla
Gros mots,Tflisti
Portez vous bien,Thalla
Neige,Thelj
Bouche,Tkom
Allez-y,Tlak
Dattes,Tmar
Tissus,Toub
Bus,Trambia / tobus
Servir,Tservi
Souffrir,Tskarfès
Tu me manques,Twa7echtk
Debout,Wa9f
mème si,wakha ma
Sos,Wakwak
Rien,Wallo
si jamais,Wida
Oui,Ya 
Que dieu te guide,Yadikallah
Mourir,Yamouts
Poubelle,Zbel
chanceux,Zharr 
Vas-y / entres,Zid
Foulard,Zif
Beurre,Zoubda
