A quel heure ?	Achmen saa ?
L’automobile, les automobiles	Ltonobil/ltonobilat
L’eau	Lma
L’eau chaude	Lma skhon
L’eau froide	Lma berd
L’essence	L’essans
L’est	Lchark
L’huile	L zit
L’orreiller	Lnizar
L’ouest	Lgharb
La	Tema
La bierre	Lbirra
La confiture	Lconfitir
La couverture	Lbtania
La droite	Limen
La garre	Lmahata
La gauche	Chmell
La laitue	Lkhas
La lumiere	L do
La menthe	N3an3a
La nuit	Lil
La paix soit avec toi	Salam alekoum
La patisserie	lHaloua
La place	Lblaça
la sienne	Dialla
La station service	Lbomba
La valise	Lbaliza
La verveine	Louisa
La viande hachée	Lkefta
La vitesse	Lsoraa
La voie ferrée	Sikka
Laisse tomber	Blesh
Laissez moi tranquile s’il vous plait	Khlini trankil aafak
Lait	Hlib
Lalcohol	Lchrab
Laquelle est-ce ? qui est-Ce ?	Chkoun hia
Le beurre	lZoubda
Le billet	Lwarka/lbilleet
Le café	Lka7oa
Le cocolat	Lchoklat
Le cofre	Lcofr
le controleur	Lcontrolour
Le coté	Ljiha
Le dejeuner	Lrda
Le diner	L3acha
Le garçon s’appelle rachid et la fille laila	Louled smitou rachid ou lbent laila
Le gaz oil	L mazot
Le jus d’orange	L '3asir dlimone
Le jus de fruit	L’3asir
Le jus de pomme	L’3asir d tfa7
Le lait	L 7alib
le leurs	Dialloum
Le lit	L Frach
Le mechoui	Lmechoui
Le miel	Ala3asal
le mien	Dialna
Le milieu	Louast
Le nord	Lchamal
le notre	Dialhna
Le numero	Lnimra
Le pain	L kkobs
Le petit déjeuner	L ftor
Le poisson	Lhout
Le port	Lmerça
Le poulet	Lgeg
Le prix	Ltaman
Le raisin	L’3anib
Le riz	Aroz
Le roti	Mlmhamar
Le royaume du maroc	Almamlak al maghreb
Le sac	Lsak
le sien	Diallo
Le sud	Ljanoub
Le thé	Latai
Le thé noir	Atai kehal
Le thé vert	Atai khedar
le tien	Diallek
Le train	L lren
Le train n’arrive pas, il a peut etre du retard	Lmachina maouoslach wakila 3anda lretard
le votre	Dialkoum
Le wagon	L fago
Lentille	Laadiz
Lequel d’eux ?	Achmen
Lequel e est-ce ? qui est-Ce ?	Chkoun hoa
Les abats	Lfdaouch
Les abricots	Lmachmach
Les bagages	Lbagag
Les brochettes	Lktban
Les carrotes	Lkhaizo
Les courgettes	Lgr3a
Les figues	Lkarmous
Les fruits	Lfawakia
Les grenades	aRman
Les légumes	Lkhodra
Les melons	Lbetikh
Les navets	Aleft
Les oignons	Lbasla
Les olives	Lzitoun
Les oranges	Limoun
Les pasteques	Ldelah
Les peches	Lkhokh
Les pigeons	Lhmam
Les pommes de terres	Lbatata
Les tomates	Maticha
Les voyages	Safr
Lesquels ? lesquelles ?	Chkoun houma ?
levure	Khemira
Lion	Sbaa
Litre	Litro
Lundi	Ltnain
Lunettes	Mnaddar
M’est il possible d’entrer ici	Imken li ntroll hana ?
Ma roue est crevée	Crevat lroeda
Madame monsieur	Lala sidi
Maison	dar
Malade	Miriend
Malgré	Bzaz
Manger	Koul
Mardi	Tlat
Marteau	Mittrak
Matin	sbah
Médecin	Tbib
mème si	wakha ma
Mentir	Kdeb
Mer / plage	Bhar
Merci	Choukran
Mercredi	Larbaa
Merde	Khra
Mes condoléances	Baraka frasek
Métal / fer	Hadid
Mince	Rkik
Ministre	Ouizir
Moha le fils de amou ezzayani	Moha ohamou ezzayani
Moi aussi	Hata ana
Moins 10 minutes	Kal Ksmaenina
moins 20 minutes	Kaltseuleut
Moins 5 minutes	Kal Ksam
Moins cher	Barata / rkhiss
Mois	Schor
Mon ami	Sahbi
Mon amie	Sahbti
Monsieur est-ce que le train est arrivé ?	Alhaj ouech ja ltren ?
Monsieur le fils de abdellah	Si ibn abellah
Monter	Tla
Montrez moi s’il vous plait la route qui mène à la gare	Ourini a3fak trek dial la gare
Mort	Metset / mouts
Mosquée	Jama3
Mourir	Yamouts
Mouton	Lhaouli
N’avez-vous jamais vu une femme	Ouech 3mrek machoufti mra ?
N’est ce pas honteux de vous comporter comme cela ?	Machi 7chouma 3lek dir 7ad chi ?
Na9i	Proper
Nager	Sibaha
Ne vous en faites pas	Ma3lekch / la alek
Neige	Thelj
nez	mnakhar
Noir	kehal
Non	La
Non je rentre d’ici une semaine	La arja min daba semana
Non je suis encore célibataire	La bakhe azri
Non, tout est plein tout est complet, alez voir cet hotel là bas.	La coulchi 3amar, coulchi complet, chof 7adak hotel hya.
Note	No9ta
nous	7na
Nous faisons	Nahmlou
Obeissant	Mote3ain
Occupé	machroul
Œufs	Beid / beidas
Oignons	basla
Oiseaux	tyour
On part ?	Nmjiou
On y va !	Mchina
Orange	litchin
oreilles	woudnine
Oreilles / écouter	Ouednin/Smah
Où	Fein ? fin ?
Où en êtes-vous	Fiou wsalto
Où est l’hotel ?	Fin l’hotel ?
Où habites tu ?	Fin ketskoun ?
Où se trouve le centre ville monsieur ?	Fin ja akhai loust lmdina
Où se trouve le guichet s’il vous plait ?	Fin lguichet lah yarhamil walidin?
Où va tu	Fin machi
Oui	Aa, naam
Oui j’ai un garçon et une fille	A a3ndi ouled ou bent
Oui je suis de France , du canada	A ana min fransa min canada
Ouvrir	Ftah
Pantalon	Saroual
Papillons	faracha
Par contre	Belhak
Par exemple	Matalan
Parapluie	Mndall
Pardon	Laafou
Pardon ?	Naam ?
Pareils	Kifkif – fhalhfal
Parler	Hdar
Parlez doucement	Hadar bleti bshouia
Partez en paix	Bslama
Pas bien	Machimzian
Pas encore	Mazal
Pastèque	dla7
Pates/spaghettis	Ch3aria
Peches	khokh
Père	Baba
Permetez moi de passer monsieur	Smahlia ndouz a sidi
Petit	Srir
Petit déjeuner	Ftar
Peut être que je suis en retard	Imken mcha hlia l7al
Photo	Soirat
Pilier	boudra
Place	Blaça/blais
Pluie	Chtah
Plus ou moin	Nisbian
Plus que toi	Ktsarmniknta
Poissons	lheuts
Poivre	Bzar
Poivron	flfla
Pomme de terre	btata
Pommes	tffa7
Porte	Beb
Portez vous bien	Thalla
poser	7et
Poubelle	Zbel
Pour	Besh
Pour moi et pour toi	Alina w alek
Pourais-je fumer une cigarette svp?	Smahli mkemmi wahed lgarro?
Pourcent	Fulmia
Pouriez vous m’aider s’il vous plait ?	Tkdar tsaadni lah hafdek ?
Pourquoi	Alach
Pourquoi ?	Aalach ?
Pourquoi tu me regardes ?	Alach ketchoufia
Pourriez vous surveiller cette valise jusqu'à ce que je revienne svp ?	Hadi smak 7ad lbalisa 7ta ana rja 3afak
Prend	Khoud
Prendre	Khod
Près de	bhall
Problème	Mouchkila
Professeur	Ousted
Prune	br9o9
Punir	i3a9ab
Qu’est ce que ça veut dire	Shnau zama
Qu’est ce que tu as ?	Maalek ?
Qu’est ce que tu veux	chbghiti
Qu’est ce que vous avez ?	Maaloum ?
Qu’il te pardonne	Aafak
Qu’il te ralonge la vie	Itowoul a3mrek
Quand ?	Fo9ash
Quand le car va-t-il démarrer ?	Fo9ach kaykal3a lcar?
Que dieu fasse misericorde à tes parents	Allah iarhamil oualedin
Que Dieu me garde	Lahyaoun
Que dieu soit satisfait de toi	Allah iardialek
Que dieu te / vous bénisse	Barakallah alek / alekoum
Que dieu te benisse	Barakallah ouafek
Que dieu te donne la santé	Allah ataiek saha
Que dieu te garde en vie	Allah akhlek
Que Dieu te guerrisse	Rabichafek
Que dieu te guide	Yadikallah
Que dieu te preserve	Allah hafdek
Que dieu te rende la vie sauve	Lahisalmek
Que Dieu te/vous donne la santé	Allah 3ataek /tekoum saha
Que le salut soit sur vous	Asalam 3aleikoum
Quel age as-tu	Shall faamrek
Quel age as-tu ?	Chall fa3mrak ?
quelle est votre nom ?	Chnau ismak nta ?
Question	Saksi
Questionner	Souwol
Qui	Chkoun ?
Qui ?	chkoun
Qui ne passe pas	Madouzchi
Qui parmis vous parle le français, l’anglais, l’allemand ?	Chkoun le tkelem fikoum lfransaouia lalmania neglesia
Qui part à la chasse perd sa place	Li Mcha ysaied mchatlo l blassa
Qui veut du H ? (chanson mondaine)	Shkoun le bra maajoun
Quoi	Chno
Quoi ?	Achnou ? ach ?
Quoi de neuf ?	Shnau kain
Reflechir	Fekkar
Repetez s’il vous plait ce que vous avez dit	A3oud 3afak chnou goulti
Repos	Raha
Reserver	Arben
Réserver	7azj
Riche	rani
Rien	Wallo
rose	wardi/rose
rouge	hemar
S’arreter	W9af/7bis
S’il vous plait est ce que c’est celle-ci la maison de monsieur Driss ?	Allah jazik bikhair ouech hadi dar dial si Driss ?
S’il vous plait la station de bus c’est par ici ?	Allah barak fek lmahata dial kiran min hnaya ?
S’il vous plait pourriez vous porter le sac avec moi ?	Allahkhlek haz ma3ia had sak
S’il vous plait quelle heure est’il ?	Mnfadlak chall saa ?
Sage femme / j’accepte	Khabla
Sale	Mouiskh, mouiskha
Samedi	Sabt
Sandales	Tchingla
Sauf que	min ghir
Se moquer	Tfla
Sel	Mlah
Sert pierre	Jffaf
Servir	Tservi
si dieu le veut	Inchallah / ikonkher
si jamais	Wida
Si tu permets	Ila smahti
Sois le / soyez les bienvenus	Marhababek / marhababikoum
Soleil	chams
Sortez Sortir	Khourij
Sos	Wakwak
soudain / brusquement	3alarafla
Souffrir	Tskarfès
Souris	Farr
Station	Stationn/lmahata
Stress	Kalak
Stupide	Mtarnan
Sucre	Soukar
Surpris	Mofajaa
Table	Lmida
Taisez vous	Sktou
Tante	Khelti
Taxi	Taxi/ taxiat
Te frapper	Darbek
Témoin	Chahada
Temps	Ouakt
tête	rass
timide	7chm
Tissus	Toub
Toi aussi	Hata nta
Toi de même	Htanta/htanti
Tomates	maticha
Tortue	Fkroun
Tout	Coulchi
Tout droit	Nichen
Tout va bien	Coulchi mzian
Toutes les chambres	Coulbit
Train	Ketar
Travail	Khadma / a3mal
tu	Ntina
Tu as raison	A3ndek lhak
Tu me manques	Twa7echtk
Un peu	Shouia
Univers	Lfalak
Va te faire foutre	Sirtkaoued
vacances / congés	3otla
Vas-y / entres	Zid
Vendre	Ba3
Vendredi	Djouma
ventre	kerchi
Vers où ?	Lfein ? lfin ? lein ?
vert	khdar
Viande	Lham
Viens	Agi
Vieux	chebeni
violet	koki/7ajri
Virgule	Fassila
Vite	Serbie
Vive le maroc	Biba al maghreb
Voile	Sibnia / hijab
Voir	Shouf
Voleur	chefer
Vouloir	Brite
vous	Ntouma
Vous avez des enfants ?	Aandk chi ouled ?
Vous avez votre billet madame  ?	Smahlia a3ndek lwarkat a cherifa?
Vous etes marié	Nta nzouj ?
Vous restez longtemps au maroc ?	Chall tbkha fl maghreb ? bezzaf ?
Vous vous ètes perdu, retournez sur vos pas et demandez àl’epicier	Araktalef, arja oua soul mlhanout
Voyager	Mssafer
Y a t il encore une station sur la route?	Ouech mazal chi station 9oddem ?
Y a-t-il ?	Kein chi ?
Y a-t-il un mécanicien ici	Kein chi mecanicien hnaya?
Y a-t-il un taxi pour fes monsieur ?	Ouech kein chi taxi lfes chriff ?
Y a-t-il une douche ?	Fia douche o la la
Yali	Celui qui
yeux	aynin
1	wahed
2	jeuje
3	tlata
4	arbaa
5	khamsa
6	sita
7	sbaa
8	tmania
9	tisaa
10	achara
11	hadach
12	etnach
13	tlatach
14	arbaach
15	khamstach
16	sitach
17	sbaach
18	tmantach
19	tisatach
20	echrin
21	wahed ou echrin
22	jugh ou echrin
30	tlatin
40	arbain
50	khamsin
60	sitin
70	sbaain
80	tmanin
90	tisin
100	mya
200	myatain
300	tlata mya
1000	alaf
100 DH par nuit	Myat drham lila
